,HS,product_name,green_world_average,blue_world_average,grey_world_average
401,090112,"Coffee, not roasted, decaffeinated",15249.0,116.0,532.0
402,090121,"Coffee, roasted, not decaffeinated",18153.0,139.0,633.0
403,090122,"Coffee, roasted, decaffeinated",18153.0,139.0,633.0
404,180100,"Cocoa beans, whole or broken, raw or roasted",19745.0,4.0,179.0
405,180200,"Cocoa shells, husks, skins and other cocoa waste",2662.0,1.0,24.0
406,180310,Cocoa paste not defatted,24015.0,5.0,218.0
407,180320,Cocoa paste wholly or partly defatted,24015.0,5.0,218.0
408,180400,"Cocoa butter, fat and oil",33626.0,7.0,305.0
409,180500,"Cocoa powder, not containing added sugar or other sweetening matter",15492.0,3.0,141.0
410,180500a,Chocolate,16805.0,198.0,193.0
411,180610,"Cocoa powder, containing added sugar or other sweetening matter",15492.0,3.0,141.0
412,0902,Tea,7232.0,898.0,726.0
413,090210,Green tea (not fermented) in packages not exceeding 3 kg,7232.0,898.0,726.0
414,090220,Green tea (not fermented) in packages exceeding 3 kg,7232.0,898.0,726.0
415,090230,Black tea (fermented)&partly fermentd tea in packages not exceedg 3 kg,7232.0,898.0,726.0
416,090240,Black tea (fermented) & partly fermented tea in packages exceedg 3 kg,7232.0,898.0,726.0
417,121010,"Hop cones, not ground, powdered or pelleted",2382.0,269.0,1414.0
418,121020,"Hop cones, ground, powdered or pelleted and lupulin",2382.0,269.0,1414.0
419,130213,Hop extract,9528.0,1077.0,5654.0
420,090411,"Pepper of the genus Piper,ex cubeb pepper,neither crushd nor ground",6540.0,467.0,604.0
421,090412,"Pepper of the genus Piper, except cubeb pepper, crushed or ground",6540.0,467.0,604.0
422,090420,"Fruits of the genus Capsicum or Pimenta, dried, crushed or ground",5869.0,1125.0,371.0
423,090500,Vanilla beans,86392.0,39048.0,1065.0
424,090610,Cinnamon and cinnamon-tree flowers neither crushed nor ground,14853.0,41.0,632.0
425,090620,Cinnamon and cinnamon-tree flowers crushed or ground,14853.0,41.0,632.0
426,090700,"Cloves (whole fruit, cloves and stems)",59834.0,30.0,1341.0
427,0908,"Nutmeg, Mace, Cardamons",30683.0,2623.0,1014.0
428,090910,Anise or badian seeds,5369.0,1865.0,1046.0
429,090920,Coriander seeds,5369.0,1865.0,1046.0
430,091010,Ginger,1525.0,40.0,92.0
431,091030,Turmeric (curcuma),1525.0,40.0,92.0
432,091050,Curry,1525.0,40.0,92.0
433,091091,Mixtures of two/more of the prods of different headgs to this chapter,2735.0,242.0,390.0
434,091099,Spices nes,2735.0,242.0,390.0
435,070990_d,Peppermint,206.0,63.0,19.0
436,530110,"Flax fibre, raw or retted",2637.0,443.0,401.0
437,530121,"Flax fibre, broken or scutched",2637.0,443.0,401.0
438,530129,"Flax fibre, otherwise processed but not spun",2866.0,481.0,436.0
439,530130,Flax tow and waste (including yarn waste and garnetted stock),581.0,98.0,88.0
440,530210,"True hemp fibre (Cannabis sativa l), raw or retted",1824.0,0,624.0
441,530290,True hemp fibre otherwise processd but not spun;tow&waste of true hemp,2026.0,0,693.0
442,530310,"Jute and other textile bast fibres, raw or retted",2356.0,33.0,217.0
443,530390,"Jute and other tex bast fib,not spun,nes;tow and waste of these fibres",2618.0,37.0,241.0
444,5303ab,Other Bastfibres,3492.0,200.0,500.0
445,530590b,"Ramie & other vegetable textile fibers, raw or processed but not spun; tow, noils & waste of these fibres",3712.0,201.0,595.0
446,5304_b,Sisal,6112.0,708.0,222.0
447,530410,"Sisal and other textile fibres of the genus Agave, raw",6112.0,708.0,222.0
448,530490,Sisal textile fibres processed but not spun;tow&waste of sisal fibres,6791.0,787.0,246.0
449,5304c,Agave Fibres Nes,6434.0,9.0,106.0
450,530521,"Abaca fibre, raw",19376.0,246.0,766.0
451,530529,"Abaca fibre,processed but not spun;tow,noils and waste of abaca fibres",21529.0,273.0,851.0
452,530590a,Fibre Crops Nes,5796.0,142.0,270.0
453,530591,"Vegetable textile fibres nes, raw",5796.0,142.0,270.0
454,530599,"Vegetable tex fib nes,processd nt spun;tow,noils&waste of these fibres",6440.0,157.0,300.0
455,240110,"Tobacco, unmanufactured, not stemmed or stripped",2021.0,205.0,700.0
456,240120,"Tobacco, unmanufactured, partly or wholly stemmed or stripped",2021.0,205.0,700.0
457,240130,Tobacco refuse,2021.0,205.0,700.0
458,400110,Natural rubber,12964.0,361.0,422.0
